"t","s","i","r","place","betap","gammap","M1","M2","M3"
48.3,21256760,228398.3,714930.9,1,2.022192e-08,0.33333,0,0,11
48.3,463564.1,70274.84,1484132,2,3.303601e-07,0.33333,1,0,9
48.3,28157312,9456063,25192595,3,1.06147e-08,0.33333,0,9,0
48.35,21251840,229502.1,718746.7,1,2.022192e-08,0.33333,0,8,1
48.35,463028.7,69644.19,1485298,2,3.303601e-07,0.33333,3,0,2
48.35,28016477,9439437,25350057,3,1.06147e-08,0.33333,8,8,0
48.4,21246897,230610.8,722580.9,1,2.022192e-08,0.33333,0,3,5
48.4,462498.7,69019.2,1486453,2,3.303601e-07,0.33333,7,0,10
48.4,27876597,9422137,25507236,3,1.06147e-08,0.33333,12,4,0
48.45,21241932,231724.1,726433.7,1,2.022192e-08,0.33333,0,7,7
48.45,461974.1,68398.17,1487598,2,3.303601e-07,0.33333,6,0,7
48.45,27737675,9404174,25664121,3,1.06147e-08,0.33333,4,4,0
48.5,21236944,232840.8,730305,1,2.022192e-08,0.33333,0,3,2
48.5,461454.8,67782.55,1488733,2,3.303601e-07,0.33333,18,0,2
48.5,27599713,9385555,25820701,3,1.06147e-08,0.33333,3,4,0
48.55,21231932,233962.8,734195,1,2.022192e-08,0.33333,0,3,12
48.55,460940.8,67171.34,1489858,2,3.303601e-07,0.33333,9,0,4
48.55,27462714,9366290,25976966,3,1.06147e-08,0.33333,8,6,0
48.6,21226898,235088.3,738103.7,1,2.022192e-08,0.33333,0,5,0
48.6,460431.9,66565.52,1490972,2,3.303601e-07,0.33333,6,0,1
48.6,27326678,9346387,26132904,3,1.06147e-08,0.33333,10,2,0
48.65,21221841,236218.4,742031.2,1,2.022192e-08,0.33333,0,3,2
48.65,459928.2,65964.82,1492076,2,3.303601e-07,0.33333,8,0,7
48.65,27191609,9325855,26288506,3,1.06147e-08,0.33333,4,7,0
48.7,21216761,237352.5,745977.6,1,2.022192e-08,0.33333,0,7,12
48.7,459429.6,65368.74,1493171,2,3.303601e-07,0.33333,3,0,8
48.7,27057506,9304703,26443760,3,1.06147e-08,0.33333,9,0,0
48.75,21211658,238490.2,749942.9,1,2.022192e-08,0.33333,0,7,3
48.75,458936.1,64777.57,1494255,2,3.303601e-07,0.33333,3,0,4
48.75,26924371,9282942,26598656,3,1.06147e-08,0.33333,4,8,0
48.8,21206531,239632.2,753927.2,1,2.022192e-08,0.33333,0,2,9
48.8,458447.5,64191.82,1495330,2,3.303601e-07,0.33333,5,0,3
48.8,26792205,9260579,26753185,3,1.06147e-08,0.33333,6,8,0
48.85,21201381,240778.7,757930.6,1,2.022192e-08,0.33333,0,12,9
48.85,457963.9,63610.56,1496395,2,3.303601e-07,0.33333,11,0,0
48.85,26661009,9237625,26907336,3,1.06147e-08,0.33333,3,1,0
48.9,21196208,241929,761953.1,1,2.022192e-08,0.33333,0,1,4
48.9,457485.1,63034.06,1497450,2,3.303601e-07,0.33333,2,0,8
48.9,26530782,9214088,27061099,3,1.06147e-08,0.33333,2,0,0
48.95,21191012,243083.8,765994.8,1,2.022192e-08,0.33333,0,4,4
48.95,457011.2,62461.75,1498496,2,3.303601e-07,0.33333,2,0,7
48.95,26401525,9189979,27214466,3,1.06147e-08,0.33333,3,7,0
49,21185792,244242.8,770055.8,1,2.022192e-08,0.33333,0,2,3
49,456542,61894.7,1499533,2,3.303601e-07,0.33333,8,0,8
49,26273238,9165306,27367426,3,1.06147e-08,0.33333,7,2,0
49.05,21180548,245406.6,774136.2,1,2.022192e-08,0.33333,0,7,2
49.05,456077.6,61331.63,1500559,2,3.303601e-07,0.33333,8,0,2
49.05,26145921,9140080,27519970,3,1.06147e-08,0.33333,3,8,0
49.1,21175281,246574.3,778236,1,2.022192e-08,0.33333,0,7,0
49.1,455617.9,60774.05,1501577,2,3.303601e-07,0.33333,12,0,2
49.1,26019572,9114309,27672089,3,1.06147e-08,0.33333,4,2,0
49.15,21169989,247746.5,782355.3,1,2.022192e-08,0.33333,0,3,6
49.15,455162.9,60220.6,1502585,2,3.303601e-07,0.33333,5,0,5
49.15,25894192,9088003,27823774,3,1.06147e-08,0.33333,7,6,0
49.2,21164675,248922.7,786494.2,1,2.022192e-08,0.33333,0,3,7
49.2,454712.4,59671.93,1503584,2,3.303601e-07,0.33333,3,0,15
49.2,25769780,9061173,27975016,3,1.06147e-08,0.33333,1,2,0
49.25,21159336,250102.7,790652.6,1,2.022192e-08,0.33333,0,0,0
49.25,454266.5,59127.23,1504574,2,3.303601e-07,0.33333,6,0,2
49.25,25646334,9033829,28125807,3,1.06147e-08,0.33333,4,5,0
49.3,21153973,251287.7,794830.9,1,2.022192e-08,0.33333,0,2,3
49.3,453825.1,58587.56,1505555,2,3.303601e-07,0.33333,0,0,8
49.3,25523853,9005979,28276138,3,1.06147e-08,0.33333,3,4,0
49.35,21148586,252476.4,799028.8,1,2.022192e-08,0.33333,0,6,0
49.35,453388.1,58052.45,1506527,2,3.303601e-07,0.33333,4,0,6
49.35,25402336,8977633,28426001,3,1.06147e-08,0.33333,5,4,0
49.4,21143175,253669.5,803246.7,1,2.022192e-08,0.33333,0,4,1
49.4,452955.5,57521.91,1507490,2,3.303601e-07,0.33333,6,0,3
49.4,25281782,8948802,28575387,3,1.06147e-08,0.33333,0,1,0
49.45,21137740,254866.8,807484.4,1,2.022192e-08,0.33333,0,6,11
49.45,452527.3,56995.61,1508445,2,3.303601e-07,0.33333,1,0,5
49.45,25162187,8919495,28724288,3,1.06147e-08,0.33333,0,2,0
49.5,21132281,256067.4,811742.2,1,2.022192e-08,0.33333,0,9,4
49.5,452103.4,56474.03,1509390,2,3.303601e-07,0.33333,3,0,3
49.5,25043551,8889722,28872698,3,1.06147e-08,0.33333,6,6,0
49.55,21126798,257273,816020,1,2.022192e-08,0.33333,0,8,11
49.55,451683.8,55957.18,1510327,2,3.303601e-07,0.33333,3,0,2
49.55,24925871,8859492,29020607,3,1.06147e-08,0.33333,7,4,0
49.6,21121290,258482.4,820317.9,1,2.022192e-08,0.33333,0,2,6
49.6,451268.4,55444.58,1511255,2,3.303601e-07,0.33333,10,0,1
49.6,24809145,8828817,29168009,3,1.06147e-08,0.33333,7,5,0
49.65,21115758,259697.1,824636,1,2.022192e-08,0.33333,0,3,3
49.65,450857.2,54935.76,1512175,2,3.303601e-07,0.33333,11,0,8
49.65,24693371,8797704,29314896,3,1.06147e-08,0.33333,2,3,0
49.7,21110201,260915.9,828974.4,1,2.022192e-08,0.33333,0,5,8
49.7,450450.2,54430.79,1513087,2,3.303601e-07,0.33333,8,0,4
49.7,24578545,8766165,29461260,3,1.06147e-08,0.33333,5,7,0
49.75,21104619,262138.5,833333.1,1,2.022192e-08,0.33333,0,8,8
49.75,450047.2,53930.75,1513990,2,3.303601e-07,0.33333,2,0,6
49.75,24464666,8734209,29607096,3,1.06147e-08,0.33333,2,6,0
49.8,21099013,263364.8,837712.3,1,2.022192e-08,0.33333,0,10,7
49.8,449648.3,53435.24,1514884,2,3.303601e-07,0.33333,0,0,10
49.8,24351730,8701846,29752395,3,1.06147e-08,0.33333,3,7,0
49.85,21093383,264595.3,842111.9,1,2.022192e-08,0.33333,0,2,7
49.85,449253.5,52943.99,1515771,2,3.303601e-07,0.33333,2,0,6
49.85,24239734,8669085,29897152,3,1.06147e-08,0.33333,2,3,0
49.9,21087727,265830.4,846532,1,2.022192e-08,0.33333,0,5,3
49.9,448862.6,52456.42,1516649,2,3.303601e-07,0.33333,1,0,2
49.9,24128676,8635936,30041360,3,1.06147e-08,0.33333,1,2,0
49.95,21082047,267069.7,850972.8,1,2.022192e-08,0.33333,0,7,9
49.95,448475.6,51973.35,1517519,2,3.303601e-07,0.33333,5,0,5
49.95,24018551,8602409,30185012,3,1.06147e-08,0.33333,8,3,0
50,21076341,268313.4,855434.3,1,2.022192e-08,0.33333,0,2,1
50,448092.5,51494.21,1518382,2,3.303601e-07,0.33333,7,0,6
50,23909356,8568514,30328102,3,1.06147e-08,0.33333,3,12,0
50.05,21070611,269561.9,859916.5,1,2.022192e-08,0.33333,0,12,2
50.05,447713.3,51019.21,1519236,2,3.303601e-07,0.33333,5,0,6
50.05,23801089,8534259,30470624,3,1.06147e-08,0.33333,1,3,0
50.1,21064856,270813.8,864419.6,1,2.022192e-08,0.33333,0,4,1
50.1,447337.9,50548.44,1520082,2,3.303601e-07,0.33333,8,0,5
